absEta_1.0_1.2-R9_0.96_0.973-gainEle_6	runNumber	1	2	1.000	0.0005	0.00501219	0.0005	0
absEta_1.0_1.2-R9_0.973_0.983-gainEle_1	runNumber	1	2	1.000	0.0005	0.01976698	0.0005	0
absEta_1.0_1.2-R9_0.973_0.983-gainEle_12	runNumber	1	2	1.000	0.0005	0.0007556182499999999	0.0005	0
absEta_1.0_1.2-R9_0.973_0.983-gainEle_6	runNumber	1	2	1.000	0.0005	0.005007229999999999	0.0005	0
absEta_1.0_1.2-R9_0.983_10.0-gainEle_1	runNumber	1	2	1.000	0.0005	0.01970992	0.0005	0
absEta_1.0_1.2-R9_0.983_10.0-gainEle_12	runNumber	1	2	1.000	0.0005	0.00075343725	0.0005	0
absEta_1.0_1.2-R9_0.983_10.0-gainEle_6	runNumber	1	2	1.000	0.0005	0.00499278	0.0005	0
absEta_1.0_1.2-R9_0.9_0.94-gainEle_1	runNumber	1	2	1.000	0.0005	0.01978018	0.0005	0
absEta_1.0_1.2-R9_0.9_0.94-gainEle_12	runNumber	1	2	1.000	0.0005	0.0007561229999999997	0.0005	0
absEta_1.0_1.2-R9_0.9_0.94-gainEle_6	runNumber	1	2	1.000	0.0005	0.005010575	0.0005	0
absEta_1.2_1.4442-R9_0.0_0.675-gainEle_1	runNumber	1	2	1.000	0.0005	0.0200053	0.0005	0
absEta_1.2_1.4442-R9_0.0_0.675-gainEle_12	runNumber	1	2	1.000	0.0005	0.0007647284999999997	0.0005	0
absEta_1.2_1.4442-R9_0.0_0.675-gainEle_6	runNumber	1	2	1.000	0.0005	0.0050676	0.0005	0
absEta_1.2_1.4442-R9_0.675_0.775-gainEle_1	runNumber	1	2	1.000	0.0005	0.01991444	0.0005	0
absEta_1.2_1.4442-R9_0.675_0.775-gainEle_12	runNumber	1	2	1.000	0.0005	0.0007612552499999999	0.0005	0
absEta_1.2_1.4442-R9_0.675_0.775-gainEle_6	runNumber	1	2	1.000	0.0005	0.005044585000000001	0.0005	0
absEta_1.2_1.4442-R9_0.775_0.85-gainEle_1	runNumber	1	2	1.000	0.0005	0.01985994	0.0005	0
absEta_1.2_1.4442-R9_0.775_0.85-gainEle_12	runNumber	1	2	1.000	0.0005	0.00075917175	0.0005	0
absEta_1.2_1.4442-R9_0.775_0.85-gainEle_6	runNumber	1	2	1.000	0.0005	0.00503078	0.0005	0
absEta_1.2_1.4442-R9_0.85_0.9-gainEle_1	runNumber	1	2	1.000	0.0005	0.0198198	0.0005	0
absEta_1.2_1.4442-R9_0.85_0.9-gainEle_12	runNumber	1	2	1.000	0.0005	0.0007576372500000001	0.0005	0
absEta_1.2_1.4442-R9_0.85_0.9-gainEle_6	runNumber	1	2	1.000	0.0005	0.00502061	0.0005	0
absEta_1.2_1.4442-R9_0.94_0.96-gainEle_1	runNumber	1	2	1.000	0.0005	0.01988462	0.0005	0
absEta_1.2_1.4442-R9_0.94_0.96-gainEle_12	runNumber	1	2	1.000	0.0005	0.00076011525	0.0005	0
absEta_1.2_1.4442-R9_0.94_0.96-gainEle_6	runNumber	1	2	1.000	0.0005	0.0050370300000000005	0.0005	0
absEta_1.2_1.4442-R9_0.96_0.973-gainEle_1	runNumber	1	2	1.000	0.0005	0.019882499999999997	0.0005	0
absEta_1.2_1.4442-R9_0.96_0.973-gainEle_12	runNumber	1	2	1.000	0.0005	0.00076003425	0.0005	0
absEta_1.2_1.4442-R9_0.96_0.973-gainEle_6	runNumber	1	2	1.000	0.0005	0.005036494999999999	0.0005	0
absEta_1.2_1.4442-R9_0.973_0.983-gainEle_1	runNumber	1	2	1.000	0.0005	0.01988702	0.0005	0
absEta_1.2_1.4442-R9_0.973_0.983-gainEle_12	runNumber	1	2	1.000	0.0005	0.0007602075000000001	0.0005	0
absEta_1.2_1.4442-R9_0.973_0.983-gainEle_6	runNumber	1	2	1.000	0.0005	0.00503764	0.0005	0
absEta_1.2_1.4442-R9_0.983_10.0-gainEle_1	runNumber	1	2	1.000	0.0005	0.01979112	0.0005	0
absEta_1.2_1.4442-R9_0.983_10.0-gainEle_12	runNumber	1	2	1.000	0.0005	0.0007565414999999999	0.0005	0
absEta_1.2_1.4442-R9_0.983_10.0-gainEle_6	runNumber	1	2	1.000	0.0005	0.005013350000000001	0.0005	0
absEta_1.2_1.4442-R9_0.9_0.94-gainEle_1	runNumber	1	2	1.000	0.0005	0.0198203	0.0005	0
absEta_1.2_1.4442-R9_0.9_0.94-gainEle_12	runNumber	1	2	1.000	0.0005	0.0007576567499999999	0.0005	0
absEta_1.2_1.4442-R9_0.9_0.94-gainEle_6	runNumber	1	2	1.000	0.0005	0.00502074	0.0005	0
absEta_1.566_2.0-R9_0.0_0.5-gainEle_1	runNumber	1	2	1.000	0.00125	0.030285120000000006	0.00125	0
