1	2	0.0	1.0	0.0	0.4	0.0	14000.0	12	1.0	0.0005
1	2	0.0	1.0	0.0	0.4	0.0	14000.0	6	1.0	0.005
1	2	0.0	1.0	0.0	0.4	0.0	14000.0	1	1.0	0.01
1	2	0.0	1.0	0.4	0.6	0.0	14000.0	12	1.0	0.0005
1	2	0.0	1.0	0.4	0.6	0.0	14000.0	6	1.0	0.005
1	2	0.0	1.0	0.4	0.6	0.0	14000.0	1	1.0	0.01
1	2	0.0	1.0	0.6	0.7	0.0	14000.0	12	1.0	0.0005
1	2	0.0	1.0	0.6	0.7	0.0	14000.0	6	1.0	0.005
1	2	0.0	1.0	0.6	0.7	0.0	14000.0	1	1.0	0.01
1	2	0.0	1.0	0.7	0.8	0.0	14000.0	12	1.0	0.0005
1	2	0.0	1.0	0.7	0.8	0.0	14000.0	6	1.0	0.005
1	2	0.0	1.0	0.7	0.8	0.0	14000.0	1	1.0	0.01
1	2	0.0	1.0	0.8	0.9	0.0	14000.0	12	1.0	0.0005
1	2	0.0	1.0	0.8	0.9	0.0	14000.0	6	1.0	0.005
1	2	0.0	1.0	0.8	0.9	0.0	14000.0	1	1.0	0.01
1	2	0.0	1.0	0.9	0.92	0.0	14000.0	12	1.0	0.0005
1	2	0.0	1.0	0.9	0.92	0.0	14000.0	6	1.0	0.005
1	2	0.0	1.0	0.9	0.92	0.0	14000.0	1	1.0	0.01
1	2	0.0	1.0	0.92	0.94	0.0	14000.0	12	1.0	0.0005
1	2	0.0	1.0	0.92	0.94	0.0	14000.0	6	1.0	0.005
1	2	0.0	1.0	0.92	0.94	0.0	14000.0	1	1.0	0.01
1	2	0.0	1.0	0.94	0.96	0.0	14000.0	12	1.0	0.0005
1	2	0.0	1.0	0.94	0.96	0.0	14000.0	6	1.0	0.005
1	2	0.0	1.0	0.94	0.96	0.0	14000.0	1	1.0	0.01
1	2	0.0	1.0	0.96	10.0	0.0	14000.0	12	1.0	0.0005
1	2	0.0	1.0	0.96	10.0	0.0	14000.0	6	1.0	0.005
1	2	0.0	1.0	0.96	10.0	0.0	14000.0	1	1.0	0.01
1	2	1.0	1.2	0.0	0.4	0.0	14000.0	12	1.0	0.0005
1	2	1.0	1.2	0.0	0.4	0.0	14000.0	6	1.0	0.005
1	2	1.0	1.2	0.0	0.4	0.0	14000.0	1	1.0	0.01
1	2	1.0	1.2	0.4	0.6	0.0	14000.0	12	1.0	0.0005
1	2	1.0	1.2	0.4	0.6	0.0	14000.0	6	1.0	0.005
1	2	1.0	1.2	0.4	0.6	0.0	14000.0	1	1.0	0.01
1	2	1.0	1.2	0.6	0.7	0.0	14000.0	12	1.0	0.0005
1	2	1.0	1.2	0.6	0.7	0.0	14000.0	6	1.0	0.005
1	2	1.0	1.2	0.6	0.7	0.0	14000.0	1	1.0	0.01
1	2	1.0	1.2	0.7	0.8	0.0	14000.0	12	1.0	0.0005
1	2	1.0	1.2	0.7	0.8	0.0	14000.0	6	1.0	0.005
1	2	1.0	1.2	0.7	0.8	0.0	14000.0	1	1.0	0.01
1	2	1.0	1.2	0.8	0.9	0.0	14000.0	12	1.0	0.0005
1	2	1.0	1.2	0.8	0.9	0.0	14000.0	6	1.0	0.005
1	2	1.0	1.2	0.8	0.9	0.0	14000.0	1	1.0	0.01
1	2	1.0	1.2	0.9	0.92	0.0	14000.0	12	1.0	0.0005
1	2	1.0	1.2	0.9	0.92	0.0	14000.0	6	1.0	0.005
